,Beta,Gamma,Delta,OBS_i,OBS_itotal,OBS_d,OBS_r
2021-01-31,0.037574930454919324,0.0023851834051139375,0.13818030356704047,0.02709613983599482,0.08056568839015969,0.0013981359516616314,0.05207141260250324
2021-02-07,0.028304426781904018,0.0021707486488249444,0.1417853476024623,0.026016429003021146,0.08335960768234786,0.0014626059559775574,0.05588057272334916
2021-02-14,0.02183041615854923,0.001973234458115025,0.14376844083105916,0.024544898575744496,0.08554331808372896,0.0015187198964177818,0.05947969961156668
2021-02-21,0.01810838682004223,0.0018479680303933215,0.14427829527164304,0.02279207423392318,0.08715578118256366,0.001562104445403539,0.06280160250323694
2021-02-28,0.01606709006964293,0.0017317277741410889,0.14072617832267412,0.02096781786793267,0.08864669615882606,0.0016033107466551576,0.06607556754423824
2021-03-07,0.014883055566114719,0.00156030846724921,0.1336111036998155,0.019421986620630126,0.09000874147604662,0.0016406495468277945,0.06894610530858869
2021-03-14,0.014594799784357513,0.0013761293918086084,0.12599032448806574,0.01808702719033233,0.09121831419939577,0.0016697315494173502,0.07146155545964608
2021-03-21,0.015162115977307794,0.0012319500532698227,0.12005663035522963,0.01707062710401381,0.09240170996978851,0.0016932904618040569,0.07363779240397064
2021-03-28,0.01608522299361694,0.0011273557732991656,0.11567648340929466,0.016319394475615017,0.09366435994820889,0.0017137829089339664,0.0756311825636599
2021-04-04,0.016717840827230282,0.0010551788794174826,0.11127158060690538,0.01582672766508416,0.09505892749244714,0.0017322662926197668,0.0774999335347432
2021-04-11,0.01655231086333733,0.001018697267727683,0.10572936400578074,0.01547760811394044,0.09648996072507553,0.0017483582218385844,0.07926399438929652
2021-04-18,0.015245393084467092,0.0010014717397855834,0.09978032546208114,0.015327081139404402,0.09800274018126888,0.0017641700474751835,0.0809114889943893
2021-04-25,0.013152979873390468,0.0009880091779503424,0.09602792582479094,0.015167315925766077,0.09935869702201121,0.0017794514458351317,0.08241192965041001
2021-05-02,0.010826541008480173,0.0009653212738679906,0.09467608057252101,0.014911577902460078,0.1005193193785067,0.0017944548985757444,0.08381328657747086
2021-05-09,0.008592642699686208,0.0009306568658243583,0.09276204366574092,0.01444678247734139,0.1014990461804057,0.001808785498489426,0.08524347820457488
2021-05-16,0.00666983054316532,0.0008846009862843819,0.08903920659021407,0.013879172637030644,0.10226801899007339,0.0018219003021148037,0.08656694605092793
2021-05-23,0.005115514947672207,0.0008259778305058932,0.08432713098809015,0.013231757013379369,0.10287970694864049,0.0018340094950366852,0.08781394044022442
2021-05-30,0.003958003185026266,0.0007649967564011801,0.08181733780949144,0.012622192490289166,0.10336329434613724,0.0018450599913681484,0.08889604186447994
2021-06-06,0.003243757523859311,0.0007151333516135312,0.08214378731294525,0.012028498921018557,0.10370124126025033,0.001853826068191627,0.08981891627104013
2021-06-13,0.002846035764796459,0.0006638666138090592,0.07918400333598971,0.011350886922744928,0.10402082606819163,0.0018627112645662493,0.09080722788088046
2021-06-20,0.002748374870982532,0.00061514145650407,0.06950416748884611,0.010657669831678896,0.10429735390591281,0.0018698800172637033,0.09176980405697022
2021-06-27,0.0031420692847208484,0.0005753723614358414,0.058123720848070486,0.010208919723780751,0.10456681873111782,0.0018765243849805783,0.0924813746223565
2021-07-04,0.004427021225127669,0.0005636706417125537,0.049151524821537236,0.009950956409149763,0.10487505826499785,0.0018823198100992662,0.09304178204574882
2021-07-11,0.007092299562081132,0.0005994734046187219,0.04332359243939181,0.00985867932671558,0.10526018601640053,0.001887623651273198,0.09351388303841175
2021-07-18,0.011298034213268368,0.0006842575704278281,0.04007430329317629,0.01005687785930082,0.10590157962883039,0.0018938416055243848,0.09395086016400518
2021-07-25,0.016681989992335475,0.0008325008351787809,0.03926483022575543,0.010663913249892102,0.10692951057401813,0.001900703064307294,0.09436489425981873
2021-08-01,0.022316321503119154,0.001043220913720028,0.040950731389524805,0.011814604229607251,0.1085158100992663,0.0019095377643504532,0.09479166810530859
2021-08-08,0.02713078177735982,0.0012777943582610053,0.04460473411856547,0.013502609840310747,0.1107233470004316,0.0019227220543806647,0.09529801510574018
2021-08-15,0.030530264586382427,0.0014906432803621064,0.04940619767263109,0.015563882175226586,0.1134539943892965,0.0019409520932239966,0.09594916012084591
2021-08-22,0.03236993678419268,0.0016386185636804798,0.05550442792564307,0.017777160552438498,0.1165305627967199,0.0019661083297367286,0.09678729391454467
2021-08-29,0.032440510632394566,0.001709725805026737,0.06371421295859475,0.020117963314630987,0.11989020414328874,0.001997264134656884,0.09777497669400086
2021-09-05,0.030756745103498677,0.001732413319955331,0.07253076376165933,0.022264444108761328,0.12343587915407854,0.002033889943892965,0.09913754510142425
2021-09-12,0.027949494336560944,0.0017394721460378042,0.0802439092546884,0.023813937419076392,0.12670642555028053,0.002071914113077255,0.1008205740181269
2021-09-19,0.02445203805219278,0.0017075878873095206,0.08665718511767202,0.025000411739318083,0.1298977785930082,0.0021149266292619768,0.10278244022442815
2021-09-26,0.020983202544669417,0.0016223798250258393,0.09188147614510254,0.02550316832110488,0.13263398316788952,0.0021589348295209324,0.1049718800172637
2021-10-03,0.018031917204225596,0.001508869948560073,0.09526241592371994,0.025516361674579196,0.13501480319378506,0.002200348726801899,0.10729809279240397
2021-10-10,0.015620228973249045,0.001397328330958495,0.09599891686215442,0.025139349158394476,0.13713943375053947,0.0022385360379801465,0.10976154855416487
2021-10-17,0.013836041199278693,0.0013031679668998597,0.09444432488417194,0.024600392749244714,0.1390141087613293,0.002272537764350453,0.11214117824773415
2021-10-24,0.012936526071710747,0.0012162906669460677,0.09095986406591781,0.02390455200690548,0.1406509318083729,0.0023045451014242556,0.11444183470004317
2021-10-31,0.012987024205496633,0.0011298183682541293,0.08625961347574043,0.023255646957272336,0.1421892473025464,0.0023335886922744927,0.11660001165299957
2021-11-07,0.013718821287519436,0.0010534853997949546,0.08139227768901426,0.022806152352179542,0.1437509987052223,0.0023594138972809664,0.11858543245576177
2021-11-14,0.014563360562195145,0.0009962459983914108,0.07726468945124433,0.022611871385412173,0.14542855718601638,0.002383532153646957,0.12043315364695727
2021-11-21,0.015034555431620538,0.0009694955138093195,0.07402774944094727,0.022802637030643075,0.14735856020716445,0.0024063379369874843,0.12214958523953388
2021-11-28,0.015689456697585702,0.0009979995293051829,0.07130284577264122,0.022996662063012516,0.14927760422960726,0.0024279106603366423,0.12385303150625811
2021-12-05,0.017606314643027424,0.0010629162429168267,0.06858747347350948,0.02342703064307294,0.15138972766508416,0.002449744928787225,0.125512952093224
2021-12-12,0.02345914993219378,0.0010916538479610058,0.06574542340050418,0.024373407423392317,0.1539685977557186,0.0024759697885196373,0.12711922054380664
2021-12-19,0.038002721340955545,0.0010488009260773547,0.06155753439704389,0.025463662063012513,0.15670046611998273,0.002503942598187311,0.1287328614587829
