Date,y,k,n,w,rk,x,c,s,s1,s2,i,i1,i2,r,r1,r2,v,ns,ni,nr,cs,ci,cr,tau,tau1,tau2,lambtilde,lamtau,lami,lams,lamr,dd,pop,Rb,pie,mc,F,Kf,rr,pbreve,yF,kF,nF,wF,rkF,xF,cF,sF,sF1,sF2,iF,iF1,iF2,rF,rF1,rF2,vF,nsF,niF,nrF,csF,ciF,crF,tauF,tauF1,tauF2,lambtildeF,lamtauF,lamiF,lamsF,lamrF,ddF,popF,RbF,pieF,mcF,FF,KfF,rrF,pbreveF,y_n,yF_n,c_n,cF_n,w_n,wF_n,n_n,nF_n,x_n,xF_n,rr_n,rrF_n,Rb_n,RbF_n,k_n,kF_n,cs_n,csF_n,ci_n,ciF_n,cr_n,crF_n,ns_n,nsF_n,ni_n,niF_n,nr_n,nrF_n,i_total,iF_total,v_total,vF_total
2020-02-03,1115.5099195578737,178499.22998425903,28.008709709706316,19.716380761066176,0.0015468602422513127,204.77865300046514,698.8081896343317,99.44150938247286,0.9944150938247287,1.0,0.011000000000000001,0.00010000000000000002,1e-05,55.849061752714256,0.005584906175271426,0.0,0.00019892280332561087,28.008709709706316,28.008709709706316,28.008709709706316,698.8081896343317,698.8081896343317,698.8081896343317,5.920125754421619e-21,5.920125754421619e-21,0.0,0.0014310078428291693,-52.944716859726164,15206.60167361775,15259.546390477475,15292.171302763196,0.01,100.0,1.0003741776885224,-0.09276731289475926,0.7425710519934308,76.71732314797937,76.65034395182538,1.0003931013422933,0.9999997544274738,1114.0768239135534,178479.72396555342,27.956159371009452,19.679434046141814,0.001541220976242753,203.34394385085207,698.8098031396243,0.9944150938247284,0.9944150938247287,1.0,0.00011000000000000017,0.00010000000000000017,1e-05,0.5584906175271427,0.0055849061752714264,0.0,0.00019892280332561087,27.956159371009445,27.956159371009445,27.956159371009445,698.8098031396243,698.8098031396243,698.8098031396243,9.104094738951955e-20,9.104094738951955e-20,0.0,0.0014310045387273696,-52.85269496679847,15206.704125030743,15259.556819997542,15292.273666649091,0.0001,1.0,1.0003836698022937,-0.017052053962052227,0.7407407407407407,1.5942489915112503,1.5942489915112503,1.0003870816288902,1.0,0.011234167257634375,-0.11725026981935782,0.19603470122444566,0.1962660477293543,0.22720178608190977,0.03938507180090145,0.031106106093981012,-0.15657367496624275,-0.6028146143145952,-1.2992058114883798,2.0647523772509446,2.032821002320695,1.9644054766762675,2.0147274290215567,-0.029086975416103833,-0.04001158556510287,0.19603470122444566,0.1962660477293543,0.19603470122444566,0.1962660477293543,0.19603470122444566,0.1962660477293543,0.031106106093981012,-0.15657367496626495,0.031106106093981012,-0.15657367496626495,0.031106106093981012,-0.15657367496626495,5.23877934493184e-18,6.959819450741763e-17,0.5584906175271427,0.5584906175271427
2020-02-10,1115.3764828922926,178498.1169702473,28.0037783186748,19.720834363469802,0.0015469474961393825,204.84763597010243,698.6057699991135,99.4151619336669,0.9941516193372169,1.0,0.012459146874694717,0.00011459146874694717,1e-05,58.38481194036371,0.005833509194036372,4.972e-06,0.00019888301876494575,28.000898574896873,28.01491004984154,28.01491004984154,698.5343418472501,698.8113416129445,698.8113416129445,6.459146874694716e-05,6.459146874694716e-05,0.0,0.0014310013882886563,-52.93546335676532,15206.599380054171,15259.534843410935,15292.168994821584,0.010028700000000002,99.9999713,1.0003733943318642,-0.09831690004434845,0.7426968346797679,76.68803332071174,76.61707963682892,1.0003934605716929,0.9999997255623705,1113.8486795201497,178477.10776492368,27.947775718951117,19.681306167569186,0.0015409277827362466,203.3219424074248,698.6036601896479,0.9941516490579155,0.9941516490583544,1.0,0.00012456174760942906,0.00011456174760942907,1e-05,0.5838481194036371,0.005833509194036372,4.972e-06,0.00019888301876494575,27.944901872463372,27.958860994751614,27.958860994751614,698.5322350036275,698.8087501247941,698.8087501247941,6.456174760942899e-05,6.456174760942899e-05,0.0,0.0014310066950669995,-52.843397683548865,15206.703455600626,15259.546853284175,15292.272982345796,0.00010028700000000001,0.999999713,1.0003834733150425,-0.017733091294691583,0.7407407407407407,1.593924917684854,1.593924917684854,1.0003870383646083,1.0,-0.0007291200013526122,-0.1377045947452027,0.16701150845799262,0.16670900120985266,0.24984144354200932,0.04890190424309271,0.013493995267155334,-0.18651528946029838,-0.5693310801618501,-1.309885057196114,2.0666582078294526,2.032591543802842,1.9602536393487746,2.013685515137764,-0.029710333998500538,-0.04147682418620402,0.15677004636738268,0.15646796436570298,0.19648663605169592,0.19611506508201426,0.19648663605169592,0.19611506508201426,0.0032091960602498304,-0.19677902691652704,0.05325017800550391,-0.14692501874423725,0.05325017800550391,-0.14692501874423725,0.006459146874694722,0.006456174760942968,0.5783789194036372,0.5783789194036372
2020-02-17,1115.4293219195758,178497.09491506164,28.005856966654157,19.723826856144747,0.0015473067255390642,204.93731054925544,698.5689344472434,99.38787907431586,0.9938787908430661,1.0,0.01412939046567158,0.0001312939046567158,1e-05,60.99258396164797,0.006089314396164797,9.944e-06,0.00019883032386744338,28.00296900992215,28.01902466663477,28.01902466663477,698.4973926462279,698.8147445418421,698.8147445418421,7.399817028324221e-05,7.399817028324221e-05,0.0,0.0014309944199239865,-52.92670667384892,15206.59696538107,15259.523672054918,15292.166564988307,0.010061485611249145,99.99993851438876,1.0003725475235803,-0.10425007573338085,0.742829455941209,76.65858495230415,76.58338427075559,1.000393834657666,0.9999996930751252,1113.8010796263982,178474.48814715273,27.946189053845952,19.68158246718679,0.001540884518454084,203.31550657320594,698.5624961301152,0.9938788760879671,0.993878876125166,1.0,0.00014122347718130058,0.00013122347718130058,1e-05,0.6099243624759451,0.006089299624759451,9.944e-06,0.00019883032981167089,27.943307441146224,27.9592968405039,27.9592968405039,698.4909588095734,698.8076668898354,698.8076668898354,7.394260337658604e-05,7.394260337658604e-05,0.0,0.0014310089132974961,-52.83459363504087,15206.70277727948,15259.537370914522,15292.272287051417,0.00010061477289330641,0.9999993852271066,1.000383243568487,-0.018529401613487373,0.7407407407407407,1.5938592725857332,1.5938592725857332,1.000386987137917,1.0,0.004008172099889684,-0.14197217142637442,0.16172997872183625,0.16080684436829973,0.2650536252709834,0.050306459057813946,0.02091773805055208,-0.19218195055017429,-0.5258040785049212,-1.3130089365536168,2.068642894533812,2.032319856123488,1.9557656910894172,2.012467250218042,-0.030282749857557523,-0.04294397662355509,0.1514722214667641,0.15054972952939227,0.19697455245988316,0.19595974943300565,0.19697455245988316,0.19595974943300565,0.010603606864822979,-0.20247342447776706,0.06794523798132612,-0.14536842677178585,0.06794523798132612,-0.14536842677178585,0.013858963903018945,0.01385043509860157,0.5982619517903816,0.5982619523848043
2020-02-24,1115.4820511585106,178496.1691402294,28.007924576751865,19.727026038909056,0.0015476808115120924,205.0324116082043,698.5265626272295,99.35952507732854,0.993595252775858,1.0,0.016040926136776292,0.00015040926136776294,1e-05,63.68285483728731,0.00635336948372873,1.4916e-05,0.00019877575816861322,28.0050264673331,28.02342237940971,28.02342237940971,698.454875411741,698.8184088025599,698.8184088025599,8.476230903940503e-05,8.476230903940503e-05,0.0,0.001430986916491658,-52.918519434200675,15206.594421221525,15259.512940655726,15292.164004833496,0.010098947904553027,99.99990105209544,1.0003716322106164,-0.11058950157697423,0.7429696430986422,76.62872014151736,76.54898438166073,1.0003942231247993,0.9999996564788282,1113.7477039236096,178471.86513123807,27.944385296386358,19.681909632352436,0.001540833291763361,203.30908579359013,698.5155412069425,0.9935954279096892,0.9935954279844998,1.0,0.00016028410403180827,0.00015028410403180827,1e-05,0.6368235712839028,0.006353319712839027,1.4916e-05,0.00019877577522503322,27.94149402103657,27.959806378055656,27.959806378055656,698.4438603207526,698.8065478728568,698.8065478728568,8.467236544115798e-05,8.467236544115798e-05,0.0,0.001431011204809039,-52.82635461354818,15206.702088339702,15259.52844295325,15292.271578737167,0.00010098919862941406,0.9999990108013704,1.0003829758910259,-0.019457173897396984,0.7407407407407407,1.5937854436450085,1.5937854436450085,1.0003869268174321,1.0,0.008735621107835989,-0.1467575792625908,0.15565465159854686,0.15407438590346878,0.2813165053783706,0.05196958625504067,0.0283020598280892,-0.1986239414772939,-0.47964312643198337,-1.316125508581234,2.070703919528749,2.0319999391912313,1.9509148968894996,2.011047869087035,-0.030801242599742817,-0.04441303223735593,0.14537604462561138,0.1437966864336504,0.19749993896722717,0.19579930331103945,0.19749993896722717,0.19579930331103945,0.017951669046789576,-0.2089499248693949,0.08365135503467513,-0.1435486498012284,0.08365135503467513,-0.1435486498012284,0.022335194806959446,0.02231767164271737,0.6181395276072428,0.6181395299073076
2020-03-02,1115.5340136394834,178495.34511925062,28.009956008783597,19.730444111747094,0.0015480692786455038,205.13309725995325,698.4778394564532,99.33011174489543,0.9932994564391654,1.0,0.018228191682140897,0.00017228191682140898,1e-05,66.46760019035952,0.006626872019035952,1.9888e-05,0.00019871905055517163,28.0070453630157,28.02812010641179,28.02812010641179,698.405967225968,698.822344445027,698.822344445027,9.707728613752748e-05,9.707728613752748e-05,0.0,0.0014309788574292605,-52.9109846666361,15206.591738702527,15259.502723369162,15292.161305428204,0.010141762497736,99.99985823750225,1.000370642930685,-0.1173588679614479,0.7431176264461843,76.59844889142093,76.51387348025163,1.0003946252410956,0.9999996152229029,1113.6877350077198,178469.2387398633,27.942333692980085,19.682294897001768,0.0015407729712782715,203.3026837766596,698.4619743079832,0.9933014244724079,0.9932997667222209,1.0,0.0001820842286979753,0.0001720842286979753,1e-05,0.6646648054960542,0.006626760054960542,1.9888e-05,0.0001987190855969,27.93943042212913,27.960400138430526,27.960400138430526,698.3901106864547,698.8053867216937,698.8053867216937,9.694217668207118e-05,9.694217668207118e-05,0.0,0.0014310135826102928,-52.818762638549735,15206.701386807326,15259.520149445876,15292.270855085837,0.00010141699412070312,0.9999985830058792,1.000382664974329,-0.020534802920935125,0.7407407407407407,1.5937022755825228,1.5937022755825228,1.000386856114219,1.0,0.013394326298499237,-0.1521341027561629,0.14866865947329444,0.14639389367885336,0.29869210185367034,0.053928059172436704,0.035557174227141,-0.20595109649969023,-0.43077147772285773,-1.3192329734188157,2.072837403594252,2.0316249574657608,1.945672361743478,2.00939923276775,-0.031262746717197754,-0.04588397832333557,0.13836352480747216,0.1360899933765536,0.19806423654566974,0.19563281593444337,0.19806423654566974,0.19563281593444337,0.025162010770363175,-0.2163199209673894,0.10042895147068798,-0.14142807703383387,0.10042895147068798,-0.14142807703383387,0.03204292342071219,0.03201188931092448,0.6380114326627601,0.6380114384669977
2020-03-09,1115.584413314626,178494.62845395453,28.01192087270726,19.734093731265418,0.0015484713949416582,205.23950214921214,698.4218342423372,99.29942447422583,0.9929896330714888,1.0,0.02073044347994045,0.0001973044347994045,1e-05,69.36050479367391,0.006911190479367391,2.486e-05,0.00019865989128783307,28.008994759067114,28.033135433700032,28.033135433700032,698.3497276503941,698.8265610083579,698.8265610083579,0.00011116347638870002,0.00011116347638870002,0.0,0.0014309702232225576,-52.904197274551045,15206.588908436159,15259.49310571071,15292.1584573255,0.010190701434445996,99.99980929856555,1.0003695737799405,-0.1245826461620747,0.7432736067359305,76.56778340536918,76.47804676986824,1.0003950399694888,0.9999995686854825,1113.620241670941,178466.6089992274,27.939999211284693,19.682746504541605,0.0015407022680653604,203.29630406395827,698.4008606839058,0.992994735657663,0.9929901371490302,1.0,0.00020701173419523106,0.00019701173419523106,1e-05,0.6935840286813619,0.0069109802868136195,2.486e-05,0.00019865995334444417,27.937081073833077,27.96109012283921,27.96109012283921,698.328765538956,698.8041761838658,698.8041761838658,0.00011096961984624341,0.00011096961984624341,0.0,0.0014310160615537983,-52.811911388679086,15206.700670427483,15259.512581816161,15292.270113451517,0.00010190582996105745,0.9999980941700388,1.0003823047915572,-0.021783172331812928,0.7407407407407407,1.5936084523025218,1.5936084523025218,1.000386773560623,1.0,0.01791291786301663,-0.15818522950186154,0.14063855842374462,0.1376313421094899,0.3172447539016465,0.056223782742192974,0.042574545383078366,-0.21428853112609447,-0.37912377739548475,-1.3223296120419836,2.0750378487138343,2.031187127732381,1.9400068609256804,2.007489395672035,-0.03166412482952241,-0.04735680020839794,0.1302998207047379,0.12729424567539116,0.19866881292596172,0.19545924743309406,0.19866881292596172,0.19545924743309406,0.032124139525402384,-0.22471045059615502,0.11834083464297152,-0.1389638470028265,0.11834083464297152,-0.1389638470028265,0.04315927105958219,0.043108851295548825,0.6578774217915433,0.6578774338014421
2020-03-16,1115.6322928252962,178494.02484430058,28.013782693006945,19.737987984832646,0.0015488861233348653,205.3517308698608,698.3574850323586,99.26746013132052,0.9926637633108256,1.0,0.023592405144851683,0.00022592405144851682,1e-05,72.37720170963952,0.007207888170963952,2.9831999999999998e-05,0.00019859792661429778,28.010837502571327,28.03848658684794,28.03848658684794,698.2850825942309,698.831067307769,698.831067307769,0.00012727183404881456,0.00012727183404881456,0.0,0.001430960995841899,-52.898265706862595,15206.585920501804,15259.484186208665,15292.155450542588,0.010246646676189828,99.9997533533238,1.0003684183786477,-0.13228600315496886,0.7434377467790843,76.53673836266601,76.4415014863611,1.0003954659123075,0.9999995161650789,1113.5441636046826,178463.9759386353,27.93734196608231,19.683273844196922,0.0015406197144692646,203.28994979161394,698.3311368899917,0.9926753364613157,0.9926645369136055,1.0,0.00023550807509238578,0.00022550807509238578,1e-05,0.7237364548485294,0.0072075325484852945,2.9831999999999998e-05,0.00019859802742980604,27.934405425919103,27.961890001401255,27.961890001401255,698.2587494640323,698.8029079817459,698.8029079817459,0.00012700220799477025,0.00012700220799477025,0.0,0.00143101865859165,-52.80590782821539,15206.699936625088,15259.505844453304,15292.26935081386,0.0001024644628168041,0.9999975355371831,1.00038188850648,-0.02322596916481956,0.7407407407407407,1.593502475284117,1.593502475284117,1.0003866774864554,1.0,0.022205563647226256,-0.16500602164916112,0.13141208430442752,0.12763425309687548,0.33704099048375014,0.05890448660379466,0.04922390359622941,-0.22377869256317018,-0.32464925679256407,-1.325413902210637,2.077297843198811,2.0306775928632392,1.9338846598917492,2.0052821247815045,-0.03200218459717963,-0.04883148147993843,0.12103092777149271,0.11725524902832518,0.1993149320454357,0.19527741094991224,0.1993149320454357,0.19527741094991224,0.03870536632617494,-0.23426633600320823,0.1374520958855152,-0.13610713785265904,0.1374520958855152,-0.13610713785265904,0.05588645446446365,0.05580907209502585,0.6777372144529731,0.6777372365444227
2020-03-23,1115.676508234691,178493.5400505257,28.015497959418013,19.742140355895323,0.0015493120661534347,205.4698502762497,698.2835810353644,99.2339835616229,0.9923195426236723,1.0,0.026864996021551422,0.0002586499602155142,1e-05,75.5355436200632,0.007518750362006319,3.4804e-05,0.00019853275266216514,28.01252924404584,28.044192391673224,28.044192391673224,698.2108061273959,698.8358711826894,698.8358711826894,0.00014568793449125576,0.00014568793449125576,0.0,0.0014309511592580546,-52.89331385711825,15206.582764429711,15259.47607828683,15292.152274544333,0.010310605410595412,99.99968939458938,1.0003671698349261,-0.14049469013799332,0.7436101616949498,76.50533122729524,76.4042372895569,1.0003959012478978,0.9999994568715324,1113.4582941964884,178461.33958975226,27.934316573938663,19.68388760455087,0.0015405236403015598,203.2836233538078,698.2515939196038,0.992340895293717,0.9923206827176826,1.0,0.00026807532608632943,0.0002580753260863294,1e-05,0.755299207080395,0.00751818807080395,3.4804e-05,0.00019853290738272111,27.931357271809645,27.96281533696607,27.96281533696607,698.178838539931,698.8015726710981,698.8015726710981,0.00014532128854013654,0.00014532128854013654,0.0,0.0014310213930652496,-52.80087405298912,15206.699182460181,15259.500056513169,15292.268563726228,0.00010310288542706278,0.9999968971145727,1.0003814083729061,-0.02489003178349769,0.7407407407407407,1.5933826392810986,1.5933826392810986,1.0003865659922802,1.0,0.026169703799872046,-0.17270465824588133,0.12081563229195957,0.11622927768382141,0.3581493540030456,0.062024505616853354,0.05534985506432388,-0.23458366450477275,-0.2673154655870036,-1.328484681816977,2.079607725158028,2.030086280226895,1.9272693243149064,2.002736367791824,-0.0322736999214035,-0.050308004403387674,0.11038107054475166,0.10579751592925124,0.20000371793171823,0.19508595235802062,0.20000371793171823,0.19508595235802062,0.04474730016370554,-0.24515260067984324,0.1578299702615249,-0.13280236797832412,0.1578299702615249,-0.13280236797832412,0.07045524791358923,0.0703412009490395,0.6975904897191896,0.6975905272826949
2020-03-30,1115.715700398249,178493.17984639356,28.017015051857744,19.74656467931191,0.001549747401743957,205.59388054154246,698.1987429336295,99.19897165136797,0.9919543422251607,1.0,0.030606147009469065,0.00029606147009469063,1e-05,78.85591030750207,0.007845815030750207,3.9776e-05,0.00019846390852473446,28.01401732161382,28.050272222577373,28.050272222577373,698.1255000230677,698.8409792005855,698.8409792005855,0.0001667364899869335,0.0001667364899869335,0.0,0.0014309407000486676,-52.88948321995657,15206.57942918637,15259.468912406324,15292.148918228546,0.010383727399455759,99.99961627260052,1.0003658207067267,-0.14923490032744402,0.7437909076514867,76.4735825934887,76.36625671310615,1.0003963436586003,0.9999993899162468,1113.361261227997,178458.69998539286,27.930871429540172,19.68459994608547,0.001540412146126298,203.27732593648813,698.1608583684318,0.991991193872139,0.9919559721856069,1.0,0.00030528405857524276,0.00029528405857524273,1e-05,0.7884743259477609,0.007844967259477609,3.9776e-05,0.00019846413654353654,27.9278839853735,27.96388383668513,27.96388383668513,698.0876407507079,698.8001594809613,698.8001594809613,0.00016624639553207798,0.00016624639553207798,0.0,0.0014310242870332762,-52.79694938311724,15206.698404577315,15259.495353960434,15292.267748256903,0.0001038324963401045,0.9999961675036596,1.0003808556239326,-0.026805732928292247,0.7407407407407407,1.5932470050592464,1.5932470050592464,1.0003864369195223,1.0,0.029683483980935677,-0.1814041657657972,0.10865143400191624,0.10321949535911923,0.3806401732469489,0.06564565696276503,0.060768042349090834,-0.24688775164224408,-0.20711261195893726,-1.3315413752154504,2.0819552000429065,2.0294017432586076,1.9201215211065659,1.999805667687471,-0.03247543712761036,-0.05178635060048009,0.09814976942912335,0.092721457306566,0.20073611223669907,0.19488332730281943,0.20073611223669907,0.19488332730281943,0.05006186290650305,-0.2575571950946376,0.17954365206205303,-0.12898629755310198,0.17954365206205303,-0.12898629755310198,0.08712889691228258,0.0869658405022473,0.7174368805716629,0.7174369409370486
2020-04-06,1115.7482626330077,178492.94996214253,28.01827302705595,19.751275085500318,0.0015501898124462693,205.7237848025164,698.1014009074144,99.16216263481626,0.9915651649806,1.0,0.03488171111629757,0.0003388171111629757,1e-05,82.36155662126319,0.008191407662126319,4.4748e-05,0.00019839086844503214,28.015239496086714,28.05674593703403,28.05674593703403,698.0275708077155,698.8463963104508,698.8463963104508,0.00019078637611563042,0.00019078637611563042,0.0,0.0014309296081076862,-52.88693533715099,15206.575903162086,15259.462838499237,15292.145369913556,0.01046732461108227,99.99953267538889,1.0003643629623131,-0.1585330910036431,0.7439799689344867,76.4415165722452,76.327565680204,1.0003967902492625,0.9999993143017456,1113.251505275735,178456.05715767408,27.926947896452784,19.685424694605544,0.0015402830733687804,203.27105687971917,698.0573714729389,0.9916236405831579,0.9915674409082578,1.0,0.0003477821121996612,0.0003377821121996612,1e-05,0.8234921687838341,0.00819017368783834,4.4748e-05,0.0001983911944371214,27.923925661763054,27.965115634101767,27.965115634101767,697.9835740751515,698.7986561326542,698.7986561326542,0.00019014008291203988,0.00019014008291203988,0.0,0.0014310273656424298,-52.79429273318628,15206.697599148047,15259.491891881231,15292.266899922588,0.00010466629170411519,0.9999953337082956,1.000380220350693,-0.02900739891263937,0.7407407407407407,1.593093368892188,1.593093368892188,1.0003862878171288,1.0,0.03260285675241725,-0.19124435458927058,0.09469440662128736,0.0883814085625767,0.40458527946403144,0.06983822340513868,0.06526081091411395,-0.2609003698114898,-0.1440585888895063,-1.3345843027312232,2.0843249079051773,2.0286109847868383,1.9123988119447155,1.9964375221840358,-0.03260418691810596,-0.0532665020836931,0.08410855009992613,0.0778002408841516,0.20151282455360686,0.19466777525094514,0.20151282455360686,0.19466777525094514,0.054426771738258495,-0.2716940651319555,0.2026640608358221,-0.12458702106511454,0.2026640608358221,-0.12458702106511454,0.10620753452384563,0.10597984879345129,0.7372759674161662,0.7372760603807607
